,Name,Duration,Genre,Rating,No. of Ratings,No. of Episodes,Creators,Stars,Reviews (Users),Reviews (Critics),Seasons,Storyline,Language,Release Date
228,Singa Penne,,"['Drama', 'Romance']",7.3,43,25,,"['Shyam Prasad', 'Payal Radhakrishna', 'Arnav']",8,,1,"Arnav, Payal, Uday, and Kutti Padmini in the lead roles. The story revolves around Mahalakshmi, an independent village girl, who decides to break the stereotype and train herself for the Border Security Force. What's Mahalakshmi's motive behind joining the security force and can she find success in her breakthrough journey?",Tamil,22 December 2020 (India)
229,Everest,25min,"['Adventure', 'Drama']",7.6,176,102,,"['Shamata Anchan', 'Sahil Salathia', 'Rohan Gandotra']",5,,5,"A young girl aspires to conquer her own personal Everest - of getting her father's love and respect. At the age of 21, she is faced with the biggest conflict of her life and is forced to question her very own existence. To redeem herself and find a place in her father's heart she decides to fulfill her father's unfulfilled dream - to summit the greatest and highest of all mountains, Mt Everest.
Written by
Star Plus",Hindi,3 November 2014 (India)
230,Dil Dosti Dance,,"['Drama', 'Romance']",8.5,67,859,,"['Shakti Mohan', 'Shantanu Maheshwari', 'Vrushika Mehta']",5,,1,"A dance-based show that traces the journey of a college students and their passion for dance, as they wade through emotions around love and friendship.",Hindi,2011 (India)
231,Kkusum,20min,"['Drama', 'Family']",4.3,67,1001,['Ekta Kapoor'],"['Tasneem Sheikh', 'Rupa Divetia', 'Raymon Singh']",2,1,1,"Kkusum is the story of a woman whose upbringing has instilled strong middle class values in her and has taught her to be strong willed, self respecting and at the same time loving and caring.",Hindi,14 May 2001 (India)
232,Dangerous,19min,['Thriller'],2.9,335,8,,"['Rajdeep Choudhury', 'Nitin Arora', 'Bipasha Basu']",36,2,1,"Revolves around the life of Aditya Dhanraj (Karan Singh Grover), a young struggling entrepreneur, who discovers that his wife Diya Dhanraj (Sonali Raut) has gone missing. He sets out to find his wife with the help of the police, only to discover that his ex-girlfriend Neha Singh (Bipasha Basu) will be handling his case. In pursuit of the truth, will they dig into many 'dangerous' hidden secrets like murder, kidnapping or even a case of business rivalry? Or is there something more to the case than meets the eye?",Hindi,14 August 2020 (India)
233,Shaktimaan,1h,"['Action', 'Adventure', 'Family']",8.2,4315,520,,"['Mukesh Khanna', 'Vaishnavi Mahant', 'Surendra Pal']",15,2,1,"When evil was ruling the world, the Suryanshis chose an ordinary man as the warrior to fight evil. When the five natural elements of life, fire, earth, water, wind and sky invigorated his body, he gained superpowers from these elements. Eventually he transformed into Shaktimaan. Shaktimaan was the rebirth of Shri Satya who had formed the Suryanshi Sect after the war of the Mahabharata 7,500 years ago. He got his powers from 7 spiritual gurus who had blessed him with mystical yogic shakti and trained him in ancient combat forms. During his training, Shaktimaan was taught the way to energize the 7 chakras of body through Kundalini Yoga that helped him get mystical and supernatural powers. He also conducted the ritual of death in order to get total control over his powers. This process, instead of killing him, made him almost immortal and stronger than any mere human being. Towards the end the Suryanshis performed a Yagya (Yajna) through which he entered holy fire and immersed his ...
Written by
Swarup Basak",Hindi,14 September 1997 (India)
234,Pavitra Rishta,24min,"['Drama', 'Romance']",7.2,1451,1324,['Ekta Kapoor'],"['Ankita Lokhande', 'Amit Sarin', 'Sushant Singh Rajput']",12,1,1,"Story of Archana, whose sole objective is to fulfill the needs of her family and keep everyone happy. How she meets her soul mate Manav, gets married to him and how they deal with twists and turns of life.",Hindi,2009 (India)
235,Yeh Hai Aashiqui,,['Romance'],7.2,84,153,,"['Anita Hassanandani Reddy', 'Vikrant Massey', 'Niti Taylor']",,,4,Yeh Hai Aashiqui is an Indian television series that presents dramatizations of love stories. It airs on Bindass channel started on 25 August 2013.,Hindi,2013 (India)
236,Medically Yourrs,,['Drama'],7.3,603,10,,"['Shantanu Maheshwari', 'Radhey Lotwala', 'Priyanka Arya']",685,,1,"ALTBalaji's Medically Yourrs revives crazy college-time nostalgia with its quirky narrative, which is spun around the struggles of MBBS students. Stuck between their dreams and a degree, these students desperately seek balance amidst the educational and emotional rollercoaster ride at KIMS.",Hindi,2019 (India)
237,Chand Chupa Badal Mein,20min,"['Drama', 'Romance']",7.5,11,722,,"['Neha Sargam', 'Abhishek Tiwari', 'Kinshuk Mahajan']",,,1,"Set in the beautiful hill town of Simla, Chaand Chupa Badal Mein narrates the tale of a middle-class girl Nivedita Sharma a.k.a. Nivi a.k.a Putul. She is kind, sweet, responsible, but also nervous and reserved. She lost her mother when she was a little girl. Since then, she has been living with her grandmother, father and younger brother. Nivedita meets her childhood friend Siddharth Sood after many years and the two fall in love with each other. But on discovering that her cousin Divya also loves Siddharth, Nivi unhesitatingly sacrifices her own love by pretending that she is indifferent to him. Under pressure from his family, and hurt by Nivi's rejection, Siddharth gets married to Divya. Nivi ends up marrying Siddharth's cousin Viren. Later, it is revealed that Viren has married Nivi to take revenge against Siddharth and his family. However, gradually both Nivi and Viren start caring for each other. When Nivi discovers Viren's real intentions she transforms him and brings him closer...",Hindi,2010 (India)
238,Hey Prabhu!,22min,"['Comedy', 'Romance']",8.7,2451,16,,"['Rajat Barmecha', 'Rituraj Singh', 'Parul Gulati']",127,1,2,"A boy in his early 20s, who has a strong Twitter and Snapchat following, realises that online cred isn't enough to overcome real-life situations. To top it off, his personal life is at an all-time low, because he has started experiencing sexual problems at 24.
Written by
MX Play",Hindi,20 February 2019 (India)
239,Haq Se,25min,['Drama'],8.3,528,20,,"['Rajeev Khandelwal', 'Surveen Chawla', 'Parul Gulati']",12,1,1,"Four blood-bound sisters with four passionate dreams, all yearning for one thing: fulfilment. This is a modern-day story of dreams, desires, love, war and the eternal pursuit of happiness, set against the breathtaking beauty and unsettling unrest of Kashmir.",Hindi,2 February 2018 (India)
240,Porus,22min,['History'],7.8,479,252,['Siddharth Kumar Tewary'],"['Aditya Redij', 'Laksh Lalwani', 'Rohit Purohit']",14,1,1,"The Story is set in 350 BC when India was called Sone Ki Chidiya due to its riches. Where on the streets in the markets Gold, Silver, Emeralds and precious stones were bartered in the open. It was also the time when the first attack on Indian Soil took place and the attacker was none other than Alexander the Great. King Porus was the mighty force that resisted the attack of Alexander. Though he lost the war which was fought on the banks of river Jhelum but he defeated Alexanders army in spirit and that saw the return of Alexander back to Greece. The story traces the time from the day Porus was born in Paurava Rajya to Bamani and Anusuya and Alexander was born to Philip and Olympias in Macedonia. Even though both were born on the same day they got very different upbringing. One became the greatest conqueror of the world and the other became the greatest Defender of India. The show has brought alive characters from History of ancient India and Greece. It will showcase the different ...
Written by
UD",Hindi,27 November 2017 (India)
241,Life Lafde Aur Bandiyan,22min,['Comedy'],7.4,162,2,['Chirag Mahabal'],"['Ayush Mehra', 'Harshit Sidwani', 'Payal Thapa']",,,1,"Three 20 year olds - Rishabh, Puppy and Chewang vow to make legends of themselves on their campus, after being humiliated for being total losers.",Hindi,29 January 2016 (India)
242,Mentalhood,24min,['Drama'],7,1136,10,,"['Karisma Kapoor', 'Sanjay Suri', 'Tillotama Shome']",637,,1,"The rules of parenting have changed. Every mother has her own strategy and some have their own game, with only one aim - to be the best of the best. Step into this #Mentalhood.",Hindi,11 March 2020 (USA)
243,Rain,2h 21min,['Thriller'],5.8,58,6,,"['Sharat Sonu', 'Priya Banerjee', 'Kanupriya Gupta']",,,1,Rain portrays the story of a girl trapped with four persons from her past and one of them wants her dead. Who can she trust?,Hindi,22 June 2017 (India)
244,Lage Raho Doctor,26min,['Drama'],,,0,,['Sharanya'],,,,,Hindi,March 2020 (India)
245,Comedy Circus Ke Ajoobe,45min,['Comedy'],6.9,233,55,,"['Archana Puran Singh', 'Sohail Khan', 'Krishna Abhishek']",,,1,"One of the comedy show of Indian television. This season of Comedy Circus was named Comedy Circus Ke Ajoobe; Archana Puran Singh and Sohail Khan was the judge for this season. For first 11 episodes Barkha Bisht was the anchor, and rest of the episodes were anchored by Shruti Seth. This season had some great contestants like Kapil Sharma, Krishna Abhishek, Sudesh Lehri, Bharti Singh etc. They also had some amazing guests for different episodes.
Written by
Niaz Islam Arif",Hindi,9 September 2012 (India)
246,Bhabi Ji Ghar Par Hai,22min,['Comedy'],8.5,3277,1447,,"['Aasif Sheikh', 'Saumya Tandon', 'Rohitash Gaud']",67,2,1,Loveless marriages and jealousy characterize two neighboring households as they try to cope with each other and themselves.,Hindi,2 March 2015 (India)
247,Ratri Ke Yatri,27min,['Drama'],6.4,41,5,,"['Piyush Ghadse', 'Barkha Sen Gupta', 'Avinash Mukherjee']",106,,1,"Ratri ke Yatri, Hungama Play's latest original show, is an anthology that narrates 5 unique and thought-provoking stories set in red-light areas. The show features an ensemble cast headlined by some of the biggest names from the television industry including Sudhir Pande, Anju Mahendru, Iqbal Khan, Barkha Sengupta, Parag Tyagi, Avinash Mukherjee, Shiny Doshi, Renee Dhyani, Mansi Srivastava, Reyhna Pandit and Akashdeep Arora, among others. Each story follows a character leading an incomplete life and seeking something - love, bodily pleasures, refuge or just closure - a man who is ashamed of being a prostitute's son and has an awakening in a place he detests the most; a 69 year old who is unapologetic about his sexual desires and refuses to be shamed by the society; a jilted lover who comes to terms with reality and decides to start a new chapter in his life; an 18 year old eager to lose his virginity before he gives up all sexual pleasures in life; a conman who makes a living out of ...",Hindi,21 July 2020 (India)
248,Aai Kuthe Kay Karte,22min,['Drama'],6.3,98,240,['Rajan Shahi'],"['Rupali Bhosale', 'Poonam Chandorkar', 'Abhishek Deshmukh']",9,,1,"Arundati Deshmukh is a devoted housewife living in a huge family along with her husband Anirudh ,her kids and in laws above everything she prefers her family first.Arundati and Anirudh are soon to celebrate their silver wedding anniversary but their son Yash finds out that Anirudh is having an affair with their neighbor and Arundati's friend Sanjana.Yash tries to comfort Sanajna but it does not make any impact on her Yash tries to hide the matter from the family but on the day of their silver wedding anniversary Arundati finds the truth.
Written by
alex.mjacko@gmail.com",Marathi,23 December 2019 (India)
249,Lalbazaar,35min,"['Crime', 'Drama']",7.4,1983,10,,"['Koushik Sen', 'Hrishitaa Bhatt', 'Sabyasachi Chakrabarty']",329,2,1,A set of brave cops deal with the dark underbelly and bring some of the most sinister customers to justice.,Bengali,19 June 2020 (India)
250,Love Ne Mila Di Jodi,20min,['Drama'],8.6,16,180,,"['Perneet Chauhan', 'Gaurav Khanna', 'Chandana Sharma']",,,1,,Hindi,22 June 2009 (India)
251,Dharmakshetra,43min,['Drama'],8.1,211,26,,"['Bajrangbali Singh', 'Gaurav Ghatnekar', 'Chandan Anand']",13,,1,"After the end of 18 days war of Mahabharata, Pandavas and Kauravas reach the court of Chitragupta where they have to answer their actions of their past life. In each episode one of the character takes the centre stage to answer the questions asked by Chitragupta on behalf of the others.",Hindi,19 November 2014 (India)
252,Ram Siya Ke Luv Kush,1h,['Drama'],6.8,55,130,,"['Navi Bhangu', 'Shivya Pathania', 'Sanjeev Sharma']",6,,1,"Sons of Lord Rama and Sita, Luv and Kush grow up in Valmiki's ashram, unaware of their lineage hidden from the truth by Sita.",Hindi,5 August 2019 (India)
253,Golden Hole,20min,"['Drama', 'Fantasy', 'Thriller']",,,0,,"['Amit', 'Romit Baweja', 'Suraj Bharadwaj']",,,,"A Women deprived of love from her husband lands in a golden hole. She has various experience here. Initially she gets access to both money and pleasure, but very soon she faces a series of problems.",Hindi,
254,Surajya Sanhita,,['History'],9.1,44,1,,['Amardeep Garg'],1,,1,,Hindi,19 May 2019 (India)
255,Auction,,['Drama'],5.4,8,5,,"['Samiksha Bhatnagar', 'Niharika Choukesey', 'Palash Dutta']",,,1,The plot revolves around a group of girls being trafficked and sold on auction and how the illegal business gets exposed.,Hindi,2019 (India)
256,Chaskela,,"['Comedy', 'Drama']",9.3,24,7,,"['Sharvary Joshi', 'Deeksha Joshi', 'Shivam Parekh']",2,,1,,Gujarati,10 June 2021 (India)
257,Charitraheen,25min,['Thriller'],5.2,453,31,,"['Saurav Das', 'Naina Ganguly', 'Soumendra Bhattacharya']",11,2,3,"Hoichoi Originals presents ""Charitraheen"", based on the novel by Sarat Chandra Chattopadhyay, with the twists and turns being much in sync with today's world.",Bengali,29 September 2018 (India)
258,Stories by Rabindranath Tagore,45min,['Drama'],8.8,1185,26,,"['Radhika Apte', 'Zachary Coffin', 'Kranti Prakash Jha']",28,1,1,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,Hindi,6 July 2015 (India)
259,Nancy Bhabhi,28min,['Drama'],,,7,,['Nandita Dutta'],,,2,,Hindi,2020 (India)
260,Anjaan: Special Crimes Unit,,"['Horror', 'Mystery', 'Thriller']",7.3,282,15,,"['Shahab Khan', 'Abhijit Sinha', 'Gashmeer Mahajani']",32,,1,"Two police officers, ASP Aditi Sharma the believer and ACP Vikrant Singhal the skeptic, investigate strange unsolved cases, while unnatural forces impede their efforts.",Hindi,12 February 2018 (India)
261,ViR: The Robot Boy,,"['Animation', 'Comedy', 'Family']",2.9,57,39,,,11,,2,"Vir is a humanoid robot with human-like qualities, emotions and superhuman abilities. He is a creation of Dr. Prem Sahay and he lives with him. Dr. Sahay is a kind old man, he created Vir for helping others. [The series follows his humorous escapades as he manages to save the day with his quick thinking and a wide array of robotic abilities, along with his closest friends - Chulbul, the pet donkey, 8-year-old Imli and Gintu, his magical jinn. The main antagonist is Mad Max with his henchman Timbaktoon. Mad Max is a mad scientist who wants to capture Vir and destroy him, but after creating the same robot like him, who will destroy mankind and the world, thus creating Mad Max's other world, where only he alone can rule.
Written by
Amit Pandey",Hindi,9 November 2013 (India)
262,Kaahin Kissii Roz,24min,['Thriller'],5.7,88,714,,"['Yash Tonk', 'Sudha Chandran', 'Mouli Ganguly']",4,,1,"Ramola Sikhand is the lady at the head of the Sikhand Family. She is a mysterious women and doesn't share her secrets with anybody. But suddenly everything changes when her son marries Shaina. A constant battle between a Mother in law and daughter in law.
Written by
Sheetal Sharma",Hindi,23 April 2001 (India)
263,Bebaakee,26min,['Drama'],8.2,1608,31,['Ekta Kapoor'],"['Kushal Tandon', 'Shivjyoti Rajput', 'Karan Jotwani']",492,,1,"Sufiyaan and Imtiaz are like brothers, and together they run one of the biggest media houses in Manali. But what will happen when they both fall for the same woman- Kainaat? And whom will she choose - a good friend or a bebaak lover?",Hindi,30 August 2020 (India)
264,Bepannah,22min,"['Drama', 'Mystery', 'Romance']",7.8,1161,186,,"['Jennifer Winget', 'Harshad Chopda', 'Shehzad Shaikh']",31,6,1,"Aditya is a pilot who lives in Mumbai with his family and wife, Pooja. Zoya lives in Mussoorie with her husband, Yash. They both love their spouses a lot. One day, they see their spouses dead in an accident together and holding hands. This begins the story of mystery, drama, suspense, and romance. After that they fall in love with each other",Hindi,19 March 2018 (India)
265,Gangaa,,['Drama'],6.3,55,596,,"['Aditi Sharma', 'Vishal Vashishtha', 'Raj Singh Verma']",4,,1,"Ganga, a child widow, undergoes many difficulties as she lives in a locality consisting of ultraconservative people. But, in an endearing yet courageous way, she questions obsolete traditions.",Hindi,2015 (India)
266,Punar Vivaah: Zindagi Milegi Dobara,,['Drama'],3.6,1874,325,,"['Gurmeet Choudhary', 'Kratika Sengar', 'Dishank Arora']",2,1,1,"The show is based on the concept of remarriage wherein kids from previous marriages are involved. It describes the story of a couple who are pressured to live together under critical circumstances and how their emotions and feelings bring them together. Follows the lives of Yash, a widower who has two daughters and Aarti, a divorcee, who put their children's need first while unwittingly discovering each other, heart and soul.
Written by
Anonymous",Hindi,20 February 2012 (India)
267,Karrle Tu Bhi Mohabbat,,"['Drama', 'Romance']",8,508,42,,"['Ram Kapoor', 'Sakshi Tanwar', 'Tanvi Vyas']",318,,3,"Karan Khanna is a recovering alcoholic who, along with his counsellor Tripurasundari Nagrajan, takes a detoxification trip to Mahabaleshwar. The story takes a turn when he attends his estranged daughter's wedding with Tripurasundari Nagrajan and discovers why opposites truly attract. Will their romance blossom? Or will it be just another page in their contrasting lives?",Hindi,April 2017 (India)
268,Maharashtrachi Hasya Jatra,,['Reality-TV'],8.5,59,0,,[],2,,,,Marathi,
269,Bepanah Pyarr,22min,['Romance'],7.1,48,104,,"['Pearl Puri', 'Ishita Dutta', 'Aparna Dixit']",,,1,"Raghbir's first wife is dead, he is about to marry his childhood friend but even before the ceremony begins another woman is already claiming he's her husband.",Hindi,
270,Mugilan,,['Action'],6.7,139,8,,"['Gayatri Rema', 'Ramya Pandiyan', 'Aadukalam Naren']",8,1,1,"Mugilan, a boy from Kanchipuram starts off as an accountant to Mudhalaiar , an arrack dealer. He rises to the stature of a don. The story starts in the present time and cuts back to early 2000s. Mugilan murders three important people and flees to Dubai with his family. He operates from Dubai to counter every action taken by DSP Rajendran. Mugilan's life is a classic example of things going wrong when taken the wrong path in life and how power and money can be a toxic combination.
Written by
Devdeepa Mukherjee",Tamil,30 October 2020 (India)
271,Grahan,30min,['Thriller'],8.7,28,0,,"['Sunil Barve', 'Abhijeet Chavan', 'Yogesh Deshpande']",,,,"Rama is a middle class housewife living with her husband Abhay and two kids Arya and Nakul.On the night of eclipse Rama goes out to purchase ice cream for her family where she escapes a narrow accident after a bus passes by from her.Upon returning Rama is shocked to see that things have changed her house is missing and a building is come up on the same place. She roams on the street searching for her husband and kids.Niranjan who lives in the building where Rama's house resided comes to her aid thinking she must have lost her way in the dark.Rama provides him details of her family and her neighbor Mr Wagh.Niranjan tells her that he is been living here for 37 years and knows most people around and such people never existed here.As its too late Niranjan takes Rama to his house against wishes of his mother who feels Rama is either insane or a spirit roaming during the eclipse.
Written by
alex.mjacko@gmail.com",Marathi,19 March 2018 (India)
272,Class of 2020,,['Drama'],7.1,1071,32,,"['Rohan Mehra', 'Chetna Pandey', 'Sushant Tanwar']",641,1,1,"Class of 2020, is a coming of age teen drama revolving around a bunch of teenagers and their struggle as their lives are intertwined with drugs, relationships, sex and peer pressure.",Hindi,2020 (India)
273,Luv Kush,2h,"['Adventure', 'Drama', 'Fantasy']",8.9,527,37,,"['Arun Govil', 'Deepika Chikhalia', 'Swapnil Joshi']",4,,1,"The show is a follow-up to Sagar's highly successful Ramayan (1987), featuring mostly the same cast and production crew. Lav Kush covers the last book of the Hindu epic Ramayan- the Uttara Kand, following Rama's coronation, especially focusing on his sons Kush and Lav.
Written by
AB THE BOSS",Hindi,October 1988 (India)
274,Aap Ki Nazron Ne Samjha,,['Drama'],5,153,23,,"['Richa Rathore', 'Vijayendra Kumeria', 'Narayani Shastri']",8,,1,"Darsh, a blind photographer, crosses path with selfless Nandini. Sparks fly, hearts flutter and a beautiful tale of love begins.",Hindi,2 March 2021 (India)
275,Chandrakanta,45min,['Fantasy'],3.8,77,95,['Ekta Kapoor'],"['Vinod Kapoor', 'Maleeka Ghai', 'Anuj Sharma']",3,1,1,"Young Chandrakanta, the princess of the kingdom of Vijaygarh loses her family and kingdom in a battle waged by the evil Queen Iravati of Naugarh, hungry for ultimate power. Her mother, Queen Ratnaprabha, ensured her daughter's safety before dying with the help of their pet magical dolphin, and the baby ends up with a childless, loving, ordinary Aiyaar couple in the kingdom of Suryagarh, growing up with faint memory of the destruction that had occurred. Unaware of the full extent of her magical powers and her destiny, Chandrakanta grows up to be an exceptionally skilled, beautiful and formidable Aiyaara warrior. The world believes the heir to the Kingdom of Vijaygarh has died and Chandrakanta herself has little knowledge of her true identity. 21 years later, destiny brings Chandrakanta face to face with Prince Veerendra of Naugarh, both unaware of two facts - that they had been betrothed to each other as kids, and that his mother was responsible for the destruction caused to ...
Written by
none",Hindi,24 June 2017 (India)
276,Kyun Rishton Mein Katti Batti,20min,['Drama'],6.2,24,6,,"['Neha Marda', 'Mannat Murgai', 'Anand Suryavanshi']",5,,1,"Kyun Rishton Mein Katti Batti is a Hindi family drama series focussing on the lives of Shubhra, Kuldeep and their kids Roli and Rishi. After 10 years of their marriage, cracks start developing in Shubhra and Kuldeep's relationship. Will Rishi and Roli succeed in erasing the differences between their parents?",Hindi,
277,Game,,"['Action', 'Drama']",,,6,,"['Srikanth Iyengar', 'Abhinav Manikanta', 'Kona Sasitha']",1,,1,Professor Varma is a reputed personality who falls into a honey trap and gets blackmailed of getting exposed. He must go to all extent to salvage his reputation built over his life's work and teaching career.,Telugu,21 April 2021 (India)
278,Metro Kathalu,1h 15min,['Drama'],6,50,0,,"['Gayatri Bhargavi', 'Rajeev Kanakala', 'Ram Maddukuri']",3,,,"Revolving around Hyderabad, a city like no other, are the lives of eight people grappling with life-changing choices as their fates entwine with each other. However, they're determined to rise above the occasion and make room for life and a little more.",Telugu,14 August 2020 (India)
279,Junoon-E-Ishq,,['Drama'],,,2,,"['Amit Kumar Das', 'Shiny Dixit', 'Rajkumar Kanojia']",,,1,"Love and sex are two different things. But if they club together in a person the motives may go beyond imagination. Ekta has got that motive, and what could Sheetal do for Ekta? Sheetal loves Ekta but Ekta loves her to the dire consequences. Watch JUNOON-E-ISHQ a heart throbbing story of unparalleled love, hatred and revenge.",Hindi,7 October 2019 (India)
280,The Casino,5h,['Thriller'],4,150,10,['Deepak Pachory'],"['Pooja Banerjee', 'Karanvir Bohra', 'Dhanveer']",15,1,1,"Youths are attracted to something that is tabooed - And if you are rich and emotionally vulnerable then you had it - such youths largely succumbs to drugs and crime fighting against ""Taboos"" or restriction laid by family and lose their lives easily. This is a story of a Rich yet very humble, simple and loving boy Vicky, who is the Heir to his father's multibillion Casino. Emotionally vulnerable after death of his mother, Vicky falls into hands of his father's 'Keep' mistaking her to be loyal family friend. 'She' not only kills both his parents, she manipulates him emotionally and makes him totally dependent on her for even a glass of water. She takes over complete control of the Casino. Vicky, who is not hurt even an ant (As he claims), gets so emotionally controlled by her that he is now ready to kill for her. Will he kill for her? Will he ever come to know that she is a killer, not lover? Will he be able to survive her and live on?",Hindi,12 June 2020 (India)
281,MasterChef India,,['Reality-TV'],6.5,112,100,,"['Vikas Khanna', 'Sanjeev Kapoor', 'Kunal Kapoor']",8,,6,Chefs and food enthusiast from across India compete against each other to be crowned India's MasterChef,Hindi,16 October 2010 (India)
282,Bullets,2h 11min,['Action'],2.5,268,6,,"['Sunny Leone', 'Karishma Tanna', 'Vivek Vaswani']",14,1,1,"Tina and Lolo are bold, badass and brave girls who find themselves on a mission to thwart an illegal arms/weapons deal between two countries. On the quest to gather evidence, a mishap occurs and the duo is suddenly up against an influential politician. They soon find themselves being chased not only by his goons but also by the police. Whilst on the run to save themselves from the repercussions of an incident, they are faced with multiple hurdles Will they get arrested, will they get killed or will they be able to complete their mission. Shot in the most stylish and beautiful locales in India and Malaysia, this unpredictable and thrilling chase packed with high octane action will definitely keep you on the edge, craving for more.",Hindi,8 January 2021 (India)
283,Story 9 Months Ki,22min,['Romance'],9.2,459,1,,"['Sukirti Kandpal', 'Aashay Mishra', 'Nabeel Ahmed']",61,,1,"Alia, an independent young woman, decides to become a single mother through IVF. While looking for a suitable donor, she meets Sarangdhar, an aspiring writer.",Hindi,23 November 2020 (India)
284,Nandhini,,"['Drama', 'Fantasy', 'Horror']",7.3,37,940,,"['Nithya Ram', 'Malavika Wales', 'Rahul Ravi']",,,2,,Tamil,2017 (India)
285,Sajan Ghar Jana Hai,,['Drama'],7.5,8,233,,"['Kunal Bhatia', 'Zalak Desai', 'Neha Saxena']",,,1,,Hindi,2009 (India)
286,Taranath Tantrik,,['Horror'],5.6,177,10,,"['Gautam Moitra', 'Jayant Kripalani', 'Kaushik Roy']",16,,1,"Dig in the mystery of Taranath Tantrik as you experience the other-world with him. Directed by Q, the web-series promises horror like never before.",Bengali,18 January 2019 (India)
287,Ek Bhram - Sarvagun Sampanna,22min,['Drama'],7,49,45,,"['Shrenu Parikh', 'Zain Imam', 'Atharv Johnny']",6,,1,"Appearances can be deceptive and so is Jhanvi, the perfect bahu of the Mittal household. Fuelled by revenge, she's planning a sinister future for her 'beloved' in-laws. No one knows why?",Hindi,22 April 2019 (India)
288,Bharat Ek Khoj,,['History'],8.9,707,53,,"['Roshan Seth', 'Om Puri', 'Ravi Jhankal']",8,,1,The 5000-year history of India from its beginnings to independence in 1947.,Hindi,13 November 1988 (India)
289,Ek Veer Stree Ki Kahaani... Jhansi Ki Rani,,"['Action', 'Adventure', 'Biography']",7.5,150,480,,"['Ulka Gupta', 'Kratika Sengar', 'Hemant Choudhary']",1,,1,"Ek Veer Stree ki Kahaani... Jhansi Ki Rani is the story of an ordinary girl who went on to become an extraordinary ruler. Her defiance against the British is exemplary even today. The fervor that she aroused gave birth to various leaders and revolutionaries who finally freed our nation from the British. The show attempts to bring forth the various facets of this remarkable woman which are yet unknown to people. The Rani is shown as a mother, as a wife, as a daughter, as a warrior and essays all the roles with equal aplomb. The show is a tribute to her bravery, gallantry and patriotism. Born as Manikarnika, Lakshmi Bai, also known as 'Manu' was the daughter of a Maharashtrian Brahmin Moropant Tambe from Varanasi. While other girls of her age chose to do household chores, she played and defeated the local boys in muddy matches of kabaddi. She married Gangadhar Rao, who was the Raja of Jhansi, at a very tender age. It was after her husband's untimely demise, while she was still an ...
Written by
Anonymous",Hindi,18 August 2009 (India)
290,Dharti Ka Veer Yodha Prithviraj Chauhan,,['Drama'],7.8,142,382,,"['Rajat Tokas', 'Mugdha Chaphekar', 'Jas Arora']",1,1,1,The historical story begins with the childhood of Prithviraj.It shows how he became the king.The begins the epic love story of Prithviraj and Sanyogita and how Mohammed Ghor attack Delhi.,Hindi,2006 (India)
291,Baa Bahoo Aur Baby,24min,"['Comedy', 'Drama']",8.1,357,553,,"['Sarita Joshi', 'Arvind Vaidya', 'Benaf Dadachandji']",8,1,2,"Tracks the story of an elderly woman Godavari Thakkar and her family, consisting of 6 sons, 2 daughters and their spouses and children. Godavari, who hails from a very poor family, lives in her father's huge mansion, the famous Krishna Villa in Parla East, Mumbai, given to her by her brothers who are settled in the United States.",Hindi,2005 (India)
292,Triples,25min,['Comedy'],7.2,725,8,,"['Vani Bhojan', 'Jai', 'Madhuri Jain']",24,,1,"Three besties, one dream café. It's anything but a cakewalk with shifty employees, angry politicians, crazy loan sharks and exes with whys.",Tamil,11 December 2020 (India)
293,Pyaar Kii Ye Ek Kahaani,24min,"['Fantasy', 'Romance']",6.8,761,334,['Ekta Kapoor'],"['Vivian Dsena', 'Sukirti Kandpal', 'Mohit Keswani']",28,,1,The show was an Indian adaptation of the popular Twilight series and The Vampire diaries but had its own distinct story.,Hindi,18 October 2010 (India)
294,Kasturi,20min,['Drama'],5.6,30,349,,"['Shubhangi Atre Poorey', 'Karan Patel', 'Bharat Chawda']",,,1,The show revolves around a middle class girl Kasturi who works for a Rockstar.,Hindi,23 April 2007 (India)
295,Bigg Boss,42min,['Reality-TV'],3.9,2261,1060,,"['Salman Khan', 'Atul Kapoor', 'Vijay Vikram Singh']",51,,14,"Bigg Boss is a reality show based on the original Dutch Big Brother. A number of contestants (known as ""housemates"") live in a purpose-built house and are isolated from the rest of the world. Each week, housemates nominate two of their fellow housemates for eviction, and the housemates who receives the most nominations would face a public vote. Eventually, one housemate would leave after being ""convicted"" from the House. In the final week, there were five housemates remaining, and the public voted for who they wanted to win. Housemates are overseen by a mysterious person known as 'Bigg Boss', whose only presence in the house is through his voice.
Written by
AB THE BOSS",Hindi,3 November 2006 (India)
296,Siddhi Vinayak,22min,"['Drama', 'Romance']",5.4,9,320,,"['Nitin Goswami', 'Utkarsha Naik', 'Roshni Rastogi']",,,1,,Hindi,
